pif_id,species,fork_id,status
502,Poochyena,502,IDENTICAL
503,Mightyena,503,IDENTICAL
504,Zigzagoon,504,IDENTICAL
505,Linoone,505,IDENTICAL
506,Wurmple,506,IDENTICAL
507,Silcoon,507,IDENTICAL
508,Beautifly,508,IDENTICAL
509,Cascoon,509,IDENTICAL
510,Dustox,510,IDENTICAL
511,Seedot,511,IDENTICAL
512,Nuzleaf,512,IDENTICAL
513,Shiftry,513,IDENTICAL
514,Taillow,514,IDENTICAL
515,Swellow,515,IDENTICAL
516,Wingull,516,IDENTICAL
517,Pelipper,517,IDENTICAL
518,Surskit,518,IDENTICAL
519,Masquerain,519,IDENTICAL
520,Whismur,520,IDENTICAL
521,Loudred,521,IDENTICAL
522,Exploud,522,IDENTICAL
523,Makuhita,523,IDENTICAL
524,Hariyama,524,IDENTICAL
525,Skitty,525,IDENTICAL
526,Delcatty,526,IDENTICAL
527,Meditite,527,IDENTICAL
528,Medicham,528,IDENTICAL
529,Electrike,529,IDENTICAL
530,Manectric,530,IDENTICAL
531,Plusle,531,IDENTICAL
532,Minun,532,IDENTICAL
533,Volbeat,533,IDENTICAL
534,Illumise,534,IDENTICAL
535,Gulpin,535,IDENTICAL
536,Swalot,536,IDENTICAL
537,Numel,537,IDENTICAL
538,Camerupt,538,IDENTICAL
539,Spoink,539,IDENTICAL
540,Grumpig,540,IDENTICAL
541,Spinda,541,IDENTICAL
542,Zangoose,542,IDENTICAL
543,Seviper,543,IDENTICAL
544,Lunatone,544,IDENTICAL
545,Solrock,545,IDENTICAL
546,Barboach,546,IDENTICAL
547,Whiscash,547,IDENTICAL
548,Corphish,548,IDENTICAL
549,Crawdaunt,549,IDENTICAL
550,Baltoy,550,IDENTICAL
551,Claydol,551,IDENTICAL
552,Castform,552,IDENTICAL
553,Castform (Sunny),1038,FORM
554,Castform (Rainy),1039,FORM
555,Castform (Snowy),1040,FORM
556,Tropius,553,REMAP
557,Chingling,581,REMAP
558,Chimecho,554,REMAP
559,Spheal,555,REMAP
560,Sealeo,556,REMAP
561,Walrein,557,REMAP
562,Clamperl,558,REMAP
563,Huntail,559,REMAP
564,Gorebyss,560,REMAP
565,Relicanth,561,REMAP
566,Noibat,1109,NEW_REGISTER
567,Noivern,1110,NEW_REGISTER
568,Tynamo,687,REMAP
569,Eelektrik,688,REMAP
570,Eelektross,689,REMAP
571,Skrelp,737,REMAP
572,Dragalge,738,REMAP
